country,type,topic,sum,prop
Colombia,theme,oceans,4.781524116,0.012993272
Costa.Rica,theme,oceans,2.471571414,0.013505855
Cuba,theme,oceans,0.016893687,0.004223422
Ecuador,theme,oceans,3.806117752,0.013941823
El.Salvador,theme,oceans,0.042626946,0.005328368
Guatemala,theme,oceans,0.298653689,0.019910246
Honduras,theme,oceans,0.035024802,0.011674934
Jamaica,theme,oceans,0.016491365,0.016491365
Mexico,theme,oceans,24.39417522,0.010680462
Nicaragua,theme,oceans,0.000855432,0.000855432
Panama,theme,oceans,3.104704702,0.027970313
Paraguay,theme,oceans,0.322019899,0.009758179
Peru,theme,oceans,12.90606024,0.036355099
Uruguay,theme,oceans,2.801031823,0.019054638
Venezuela,theme,oceans,1.251383901,0.008750936
Argentina,theme,agriculture,49.05314718,0.029042716
Bahamas,theme,agriculture,0.002879386,0.002879386
Belize,theme,agriculture,0.740381639,0.010142214
Bolivia,theme,agriculture,5.595711902,0.023610599
Brazil,theme,agriculture,163.9115319,0.029160564
Chile,theme,agriculture,17.88130981,0.016774212
Colombia,theme,agriculture,8.871819266,0.024108205
Costa.Rica,theme,agriculture,4.970434168,0.027160842
Cuba,theme,agriculture,0.015397858,0.003849465
Ecuador,theme,agriculture,3.702009998,0.013560476
El.Salvador,theme,agriculture,0.233240586,0.029155073
Guatemala,theme,agriculture,0.121727286,0.008115152
Honduras,theme,agriculture,0.099522876,0.033174292
Jamaica,theme,agriculture,0.00038956,0.00038956
Mexico,theme,agriculture,35.01989075,0.015332702
Nicaragua,theme,agriculture,0.00427716,0.00427716
Panama,theme,agriculture,0.463553166,0.004176155
Paraguay,theme,agriculture,0.336649533,0.010201501
Peru,theme,agriculture,3.662125585,0.010315847
Uruguay,theme,agriculture,3.492688417,0.023759785
Venezuela,theme,agriculture,2.359131773,0.016497425
Argentina,theme,groundwater,59.81161557,0.035412443
Bahamas,theme,groundwater,0.001706303,0.001706303
Belize,theme,groundwater,1.175204568,0.016098693
Bolivia,theme,groundwater,5.213355194,0.021997279
Brazil,theme,groundwater,122.0637796,0.02171567
Chile,theme,groundwater,32.78089076,0.030751305
Colombia,theme,groundwater,5.197200763,0.014122828
Costa.Rica,theme,groundwater,8.224465437,0.044942434
Cuba,theme,groundwater,0.012778629,0.003194657
Ecuador,theme,groundwater,5.180609362,0.018976591
El.Salvador,theme,groundwater,0.253463076,0.031682885
Guatemala,theme,groundwater,0.429396234,0.028626416
Honduras,theme,groundwater,0.007041732,0.002347244
Jamaica,theme,groundwater,0.000519413,0.000519413
Mexico,theme,groundwater,112.0199179,0.049045498
Nicaragua,theme,groundwater,0.003421728,0.003421728
Panama,theme,groundwater,2.006721658,0.018078573
Paraguay,theme,groundwater,1.145708507,0.03471844
Peru,theme,groundwater,8.726595998,0.024581961
Uruguay,theme,groundwater,3.548215077,0.024137518
Venezuela,theme,groundwater,1.624779657,0.011362096
Argentina,theme,water quality,56.69692479,0.033568339
Bahamas,theme,water quality,0.001386371,0.001386371
Belize,theme,water quality,1.535179726,0.021029859
Bolivia,theme,water quality,4.516064014,0.019055122
Brazil,theme,water quality,164.0220012,0.029180217
Chile,theme,water quality,23.15537141,0.021721737
Colombia,theme,water quality,10.2049019,0.027730712
Costa.Rica,theme,water quality,3.564312513,0.019477118
Cuba,theme,water quality,0.078637677,0.019659419
Ecuador,theme,water quality,7.527072035,0.027571692
El.Salvador,theme,water quality,0.054219024,0.006777378
Guatemala,theme,water quality,0.337252976,0.022483532
Honduras,theme,water quality,0.032081657,0.010693886
Jamaica,theme,water quality,0.000649266,0.000649266
Mexico,theme,water quality,65.24599563,0.028566548
Nicaragua,theme,water quality,0.007698888,0.007698888
Panama,theme,water quality,1.75426561,0.015804195
Paraguay,theme,water quality,0.438857436,0.01329871
Peru,theme,water quality,5.428218126,0.015290755
Uruguay,theme,water quality,3.594554211,0.02445275
Venezuela,theme,water quality,2.879839063,0.020138735
Argentina,theme,geomorphology,53.29852258,0.03155626
Bahamas,theme,geomorphology,0.010557748,0.010557748
Belize,theme,geomorphology,5.277140076,0.07228959
Bolivia,theme,geomorphology,8.893685261,0.037526098
Brazil,theme,geomorphology,130.599238,0.023234164
Chile,theme,geomorphology,31.73827298,0.029773239
Colombia,theme,geomorphology,8.89850162,0.024180711
Costa.Rica,theme,geomorphology,4.493056404,0.024552221
Cuba,theme,geomorphology,0.076108328,0.019027082
Ecuador,theme,geomorphology,5.089592064,0.018643194
El.Salvador,theme,geomorphology,0.283414286,0.035426786
Guatemala,theme,geomorphology,0.899622034,0.059974802
Honduras,theme,geomorphology,0.016109934,0.005369978
Jamaica,theme,geomorphology,0.002986625,0.002986625
Mexico,theme,geomorphology,60.33215609,0.02641513
Nicaragua,theme,geomorphology,0.043627032,0.043627032
Panama,theme,geomorphology,2.955950092,0.026630181
Paraguay,theme,geomorphology,1.170090834,0.035457298
Peru,theme,geomorphology,13.98211301,0.039386234
Uruguay,theme,geomorphology,2.377736662,0.016175079
Venezuela,theme,geomorphology,4.927804056,0.034460168
Argentina,theme,mining,4.218709355,0.002497756
Bahamas,theme,mining,0.000106644,0.000106644
Belize,theme,mining,0.095293601,0.001305392
Bolivia,theme,mining,3.393943613,0.014320437
Brazil,theme,mining,33.29612178,0.005923523
Chile,theme,mining,7.787732202,0.007305565
Colombia,theme,mining,1.383557215,0.003759666
Costa.Rica,theme,mining,0.113896999,0.000622388
Cuba,theme,mining,0.001675793,0.000418948
Ecuador,theme,mining,1.885950291,0.006908243
El.Salvador,theme,mining,0.004364539,0.000545567
Guatemala,theme,mining,0.019550886,0.001303392
Honduras,theme,mining,0.008922495,0.002974165
Jamaica,theme,mining,0.000129853,0.000129853
Mexico,theme,mining,12.26174305,0.005368539
Nicaragua,theme,mining,0.000855432,0.000855432
Panama,theme,mining,0.052217526,0.000470428
Paraguay,theme,mining,0.035026796,0.001061418
Peru,theme,mining,3.290486155,0.009268975
Uruguay,theme,mining,0.288630285,0.001963471
Venezuela,theme,mining,1.051681462,0.007354416
Argentina,theme,invasive aquatic species,9.884800802,0.005852458
Bahamas,theme,invasive aquatic species,0.000106644,0.000106644
Belize,theme,invasive aquatic species,0.531725572,0.007283912
Bolivia,theme,invasive aquatic species,0.751847523,0.003172352
Brazil,theme,invasive aquatic species,30.84200188,0.005486924
Chile,theme,invasive aquatic species,5.315781486,0.004986662
Colombia,theme,invasive aquatic species,1.155465702,0.003139852
Costa.Rica,theme,invasive aquatic species,0.513285833,0.002804841
Cuba,theme,invasive aquatic species,0.008002294,0.002000573
Ecuador,theme,invasive aquatic species,1.174136826,0.004300867
El.Salvador,theme,invasive aquatic species,0.010960837,0.001370105
Guatemala,theme,invasive aquatic species,0.015311429,0.001020762
Honduras,theme,invasive aquatic species,0.051317116,0.017105705
Jamaica,theme,invasive aquatic species,0.008700169,0.008700169
Mexico,theme,invasive aquatic species,9.50473283,0.004161442
Nicaragua,theme,invasive aquatic species,0.002566296,0.002566296
Panama,theme,invasive aquatic species,0.307959762,0.002774412
Paraguay,theme,invasive aquatic species,0.360569033,0.010926334
Peru,theme,invasive aquatic species,2.084352299,0.005871415
Uruguay,theme,invasive aquatic species,1.709876854,0.011631815
Venezuela,theme,invasive aquatic species,0.620767373,0.004341031
Argentina,theme,coastal ecology,43.20024792,0.025577411
Bahamas,theme,coastal ecology,0.001706303,0.001706303
Belize,theme,coastal ecology,6.473721382,0.088681115
Bolivia,theme,coastal ecology,0.78980905,0.003332528
